Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Hermosillo (erno), Sonora
Lat 29.0814 N, Lon 110.9706 W, Alt 154 masl
Time UTC-7h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2024-03-01 00:00:00,4.87,OK,-0.5,BDL,null,OS,null,OS,0.43,OK,24.54,OK,13.1,OK
2024-03-01 01:00:00,11.86,OK,-0.59,BDL,null,OS,null,OS,0.26,OK,16.12,OK,11.68,OK
2024-03-01 02:00:00,14.61,OK,-0.65,BDL,null,OS,null,OS,0.18,OK,9.53,OK,5.85,OK
2024-03-01 03:00:00,16.41,OK,-0.63,BDL,null,OS,null,OS,0.16,OK,2.66,BDL,2.7,BDL
2024-03-01 04:00:00,15.8,OK,-0.64,BDL,null,OS,null,OS,0.17,OK,2.57,BDL,0.37,BDL
2024-03-01 05:00:00,9.45,OK,-0.64,BDL,null,OS,null,OS,0.32,OK,6.08,OK,-3.92,BDL
2024-03-01 06:00:00,5.4,OK,-0.41,BDL,null,OS,null,OS,0.57,OK,16.13,OK,-3.2,BDL
2024-03-01 07:00:00,9.17,OK,-0.22,BDL,null,OS,null,OS,0.68,OK,26.33,OK,1.85,BDL
2024-03-01 08:00:00,24.17,OK,-0.36,BDL,null,OS,null,OS,0.44,OK,29.38,OK,5.85,OK
2024-03-01 09:00:00,32.79,OK,-0.51,BDL,null,OS,null,OS,0.33,OK,11.69,OK,17.14,OK
2024-03-01 10:00:00,42.9,OK,-0.59,BDL,null,OS,null,OS,0.29,OK,12.59,OK,18.17,OK
2024-03-01 11:00:00,48.99,OK,-0.55,BDL,null,OS,null,OS,0.33,OK,8.85,OK,20.29,OK
2024-03-01 12:00:00,55.81,OK,-0.54,BDL,null,OS,null,OS,0.33,OK,8.44,OK,16.89,OK
2024-03-01 13:00:00,59.88,OK,116.69,OK,null,OS,null,OS,1.01,OK,9.1,OK,14.31,OK
2024-03-01 14:00:00,275.32,OK,-0.08,BDL,null,OS,null,OS,5.24,OK,15.95,OK,17.98,OK
2024-03-01 15:00:00,150.08,OK,-0.13,BDL,null,OS,null,OS,0.24,OK,14.05,OK,13.26,OK
2024-03-01 16:00:00,45.94,OK,-0.13,BDL,null,OS,null,OS,0.37,OK,23.58,OK,18.94,OK
2024-03-01 17:00:00,31.54,OK,-0.15,BDL,null,OS,null,OS,0.54,OK,19.36,OK,11.64,OK
2024-03-01 18:00:00,24.86,OK,0.04,BDL,null,OS,null,OS,0.43,OK,35.18,OK,11.82,OK
2024-03-01 19:00:00,20.45,OK,-0.11,BDL,null,OS,null,OS,0.5,OK,22.74,OK,-3.05,BDL
2024-03-01 20:00:00,14.24,OK,-0.02,BDL,null,OS,null,OS,0.57,OK,21.67,OK,-1.8,BDL
2024-03-01 21:00:00,11.63,OK,-0.03,BDL,null,OS,null,OS,0.62,OK,29.48,OK,-0.27,BDL
