Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Hermosillo (erno), Sonora
Lat 29.0814 N, Lon 110.9706 W, Alt 154 masl
Time UTC-7h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2024-12-01 00:00:00,0.04,BDL,0.67,BDL,null,OS,null,OS,1.27,OK,112.75,OK,29.17,OK
2024-12-01 01:00:00,0.22,BDL,0.52,BDL,null,OS,null,OS,0.9,OK,113.71,OK,18.64,OK
2024-12-01 02:00:00,3.06,OK,0.4,BDL,null,OS,null,OS,0.7,OK,66.93,OK,14.09,OK
2024-12-01 03:00:00,2.82,OK,0.3,BDL,null,OS,null,OS,0.67,OK,60.17,OK,12.44,OK
2024-12-01 04:00:00,5.68,OK,0.26,BDL,null,OS,null,OS,0.64,OK,50.82,OK,3.46,BDL
2024-12-01 05:00:00,9.04,OK,0.25,BDL,null,OS,null,OS,0.62,OK,30.67,OK,4.33,OK
2024-12-01 06:00:00,6.55,OK,0.34,BDL,null,OS,null,OS,0.64,OK,23.64,OK,3.97,BDL
2024-12-01 07:00:00,8.22,OK,0.43,BDL,null,OS,null,OS,0.76,OK,27.25,OK,0.41,BDL
2024-12-01 08:00:00,12.5,OK,0.56,BDL,null,OS,null,OS,1.08,OK,63.94,OK,7.46,OK
2024-12-01 09:00:00,21.34,OK,0.54,BDL,null,OS,null,OS,1.08,OK,78.05,OK,29.34,OK
2024-12-01 10:00:00,31.88,OK,0.51,BDL,null,OS,null,OS,1.07,OK,88.22,OK,41.94,OK
2024-12-01 11:00:00,38.69,OK,0.44,BDL,null,OS,null,OS,0.79,OK,55.84,OK,21.14,OK
2024-12-01 12:00:00,40.49,OK,0.48,BDL,null,OS,null,OS,0.75,OK,49.26,OK,19.23,OK
2024-12-01 13:00:00,40.47,OK,0.37,BDL,null,OS,null,OS,0.75,OK,21.58,OK,17.19,OK
2024-12-01 14:00:00,40.62,OK,0.36,BDL,null,OS,null,OS,0.73,OK,26.32,OK,15.55,OK
2024-12-01 15:00:00,34.36,OK,0.32,BDL,null,OS,null,OS,0.74,OK,18.74,OK,13.18,OK
2024-12-01 16:00:00,20.61,OK,0.32,BDL,null,OS,null,OS,0.91,OK,31.82,OK,8.09,OK
2024-12-01 17:00:00,0.77,BDL,0.59,BDL,null,OS,null,OS,1.51,OK,61.98,OK,8.98,OK
2024-12-01 18:00:00,1.28,OK,0.7,BDL,null,OS,null,OS,1.41,OK,115.38,OK,8.61,OK
2024-12-01 19:00:00,0.64,BDL,0.63,BDL,null,OS,null,OS,1.37,OK,116.54,OK,18.15,OK
2024-12-01 20:00:00,0.04,BDL,0.72,BDL,null,OS,null,OS,1.65,OK,125.05,OK,15.49,OK
2024-12-01 21:00:00,0.16,BDL,0.8,BDL,null,OS,null,OS,1.8,OK,132.65,OK,27.84,OK
2024-12-01 22:00:00,1.25,OK,0.47,BDL,null,OS,null,OS,1.1,OK,101.82,OK,30.65,OK
2024-12-01 23:00:00,6.17,OK,0.35,BDL,null,OS,null,OS,0.8,OK,85.65,OK,13.67,OK
2024-12-02 00:00:00,13.63,OK,0.27,BDL,null,OS,null,OS,0.66,OK,52.6,OK,4.35,OK
2024-12-02 01:00:00,9.4,OK,0.27,BDL,null,OS,null,OS,0.66,OK,38.14,OK,9.61,OK
2024-12-02 02:00:00,8.21,OK,0.31,BDL,null,OS,null,OS,0.69,OK,44.63,OK,7.68,OK
2024-12-02 03:00:00,11.14,OK,0.23,BDL,null,OS,null,OS,0.63,OK,46.22,OK,5.22,OK
2024-12-02 04:00:00,13.54,OK,0.21,BDL,null,OS,null,OS,0.61,OK,36.87,OK,1.6,BDL
2024-12-02 05:00:00,7.92,OK,0.22,BDL,null,OS,null,OS,0.65,OK,34.75,OK,0.66,BDL
2024-12-02 06:00:00,5.0,OK,0.3,BDL,null,OS,null,OS,0.77,OK,36.15,OK,1.07,BDL
2024-12-02 07:00:00,6.6,OK,0.41,BDL,null,OS,null,OS,0.89,OK,52.3,OK,-0.08,BDL
2024-12-02 08:00:00,14.19,OK,0.46,BDL,null,OS,null,OS,0.89,OK,75.31,OK,-0.63,BDL
2024-12-02 09:00:00,21.03,OK,0.51,BDL,null,OS,null,OS,0.9,OK,68.17,OK,24.22,OK
2024-12-02 10:00:00,26.42,OK,0.48,BDL,null,OS,null,OS,0.92,OK,62.41,OK,30.35,OK
2024-12-02 11:00:00,31.4,OK,0.46,BDL,null,OS,null,OS,0.84,OK,89.57,OK,28.55,OK
2024-12-02 12:00:00,33.0,OK,0.43,BDL,null,OS,null,OS,0.79,OK,75.26,OK,25.33,OK
2024-12-02 13:00:00,32.95,OK,0.57,BDL,null,OS,null,OS,0.85,OK,78.02,OK,27.25,OK
2024-12-02 14:00:00,34.98,OK,0.52,BDL,null,OS,null,OS,0.89,OK,64.84,OK,16.36,OK
2024-12-02 15:00:00,28.24,OK,0.52,BDL,null,OS,null,OS,0.91,OK,60.02,OK,13.3,OK
2024-12-02 16:00:00,5.9,OK,0.61,BDL,null,OS,null,OS,1.16,OK,71.63,OK,13.01,OK
2024-12-02 17:00:00,0.22,BDL,0.92,BDL,null,OS,null,OS,1.69,OK,177.62,OK,23.03,OK
2024-12-02 18:00:00,0.63,BDL,0.9,BDL,null,OS,null,OS,1.73,OK,212.0,OK,29.79,OK
2024-12-02 19:00:00,0.96,BDL,0.71,BDL,null,OS,null,OS,1.42,OK,182.02,OK,22.99,OK
2024-12-02 20:00:00,-0.01,BDL,0.66,BDL,null,OS,null,OS,1.48,OK,155.17,OK,27.66,OK
2024-12-02 21:00:00,0.26,BDL,0.81,BDL,null,OS,null,OS,1.71,OK,135.68,OK,21.72,OK
2024-12-02 22:00:00,3.12,OK,0.54,BDL,null,OS,null,OS,0.97,OK,125.45,OK,23.93,OK
2024-12-02 23:00:00,7.64,OK,0.43,BDL,null,OS,null,OS,0.71,OK,84.58,OK,6.74,OK
2024-12-03 00:00:00,7.83,OK,0.34,BDL,null,OS,null,OS,0.67,OK,56.29,OK,10.91,OK
2024-12-03 01:00:00,9.59,OK,0.22,BDL,null,OS,null,OS,0.61,OK,52.68,OK,16.77,OK
2024-12-03 02:00:00,11.24,OK,0.21,BDL,null,OS,null,OS,0.6,OK,33.95,OK,4.51,OK
2024-12-03 03:00:00,9.93,OK,0.21,BDL,null,OS,null,OS,0.61,OK,16.88,OK,4.87,OK
2024-12-03 04:00:00,11.8,OK,0.26,BDL,null,OS,null,OS,0.63,OK,18.05,OK,1.52,BDL
2024-12-03 05:00:00,7.52,OK,0.3,BDL,null,OS,null,OS,0.68,OK,37.11,OK,0.8,BDL
2024-12-03 06:00:00,5.61,OK,0.35,BDL,null,OS,null,OS,0.81,OK,36.12,OK,2.96,BDL
2024-12-03 07:00:00,10.11,OK,0.37,BDL,null,OS,null,OS,0.83,OK,77.74,OK,0.86,BDL
2024-12-03 08:00:00,14.52,OK,0.45,BDL,null,OS,null,OS,0.92,OK,96.67,OK,8.71,OK
2024-12-03 09:00:00,19.13,OK,0.56,BDL,null,OS,null,OS,0.94,OK,87.74,OK,35.62,OK
2024-12-03 10:00:00,24.48,OK,0.58,BDL,null,OS,null,OS,1.11,OK,86.07,OK,26.58,OK
2024-12-03 11:00:00,32.85,OK,0.52,BDL,null,OS,null,OS,1.05,OK,90.98,OK,36.93,OK
2024-12-03 12:00:00,40.37,OK,0.43,BDL,null,OS,null,OS,0.84,OK,65.32,OK,27.22,OK
2024-12-03 13:00:00,40.9,OK,0.56,BDL,null,OS,null,OS,0.8,OK,65.0,OK,26.3,OK
2024-12-03 14:00:00,40.2,OK,0.52,BDL,null,OS,null,OS,0.81,OK,55.18,OK,16.76,OK
2024-12-03 15:00:00,30.82,OK,0.48,BDL,null,OS,null,OS,0.87,OK,50.58,OK,20.21,OK
2024-12-03 16:00:00,9.49,OK,0.55,BDL,null,OS,null,OS,1.19,OK,54.84,OK,0.83,BDL
2024-12-03 17:00:00,1.18,OK,1.13,OK,null,OS,null,OS,1.77,OK,119.09,OK,11.48,OK
2024-12-03 18:00:00,0.28,BDL,1.17,OK,null,OS,null,OS,2.09,OK,197.58,OK,17.68,OK
2024-12-03 19:00:00,0.54,BDL,0.99,BDL,null,OS,null,OS,1.78,OK,184.71,OK,32.09,OK
2024-12-03 20:00:00,0.08,BDL,1.06,OK,null,OS,null,OS,1.79,OK,147.84,OK,24.0,OK
2024-12-03 21:00:00,0.23,BDL,1.06,OK,null,OS,null,OS,1.82,OK,124.5,OK,26.49,OK
2024-12-03 22:00:00,0.52,BDL,1.13,OK,null,OS,null,OS,2.05,OK,112.15,OK,34.32,OK
2024-12-03 23:00:00,-0.0,BDL,0.69,BDL,null,OS,null,OS,1.11,OK,126.17,OK,28.65,OK
2024-12-04 00:00:00,4.76,OK,0.41,BDL,null,OS,null,OS,0.68,OK,80.87,OK,21.83,OK
2024-12-04 01:00:00,13.12,OK,0.32,BDL,null,OS,null,OS,0.57,OK,39.49,OK,9.08,OK
2024-12-04 02:00:00,12.43,OK,0.26,BDL,null,OS,null,OS,0.58,OK,19.32,OK,4.4,OK
2024-12-04 03:00:00,15.47,OK,0.26,BDL,null,OS,null,OS,0.57,OK,20.64,OK,-0.22,BDL
2024-12-04 04:00:00,13.92,OK,0.27,BDL,null,OS,null,OS,0.58,OK,16.17,OK,-1.84,BDL
2024-12-04 05:00:00,10.42,OK,0.29,BDL,null,OS,null,OS,0.63,OK,26.76,OK,-2.11,BDL
2024-12-04 06:00:00,8.06,OK,0.37,BDL,null,OS,null,OS,0.74,OK,40.37,OK,-2.28,BDL
2024-12-04 07:00:00,9.5,OK,0.45,BDL,null,OS,null,OS,0.8,OK,61.76,OK,-2.17,BDL
2024-12-04 08:00:00,14.46,OK,0.46,BDL,null,OS,null,OS,0.81,OK,83.6,OK,4.76,OK
2024-12-04 09:00:00,23.98,OK,0.41,BDL,null,OS,null,OS,0.74,OK,93.48,OK,22.11,OK
2024-12-04 10:00:00,31.0,OK,0.32,BDL,null,OS,null,OS,0.74,OK,60.8,OK,16.26,OK
2024-12-04 11:00:00,34.92,OK,0.48,BDL,null,OS,null,OS,0.8,OK,32.61,OK,18.81,OK
2024-12-04 12:00:00,37.37,OK,0.34,BDL,null,OS,null,OS,0.75,OK,34.68,OK,34.22,OK
2024-12-04 13:00:00,34.43,OK,0.69,BDL,null,OS,null,OS,0.79,OK,44.28,OK,24.09,OK
