Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Hermosillo (erno), Sonora
Lat 29.0814 N, Lon 110.9706 W, Alt 154 masl
Time UTC-7h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2024-11-01 00:00:00,8.54,OK,0.53,BDL,null,OS,null,OS,0.25,OK,89.89,OK,8.04,OK
2024-11-01 01:00:00,14.04,OK,0.48,BDL,null,OS,null,OS,0.18,OK,55.91,OK,14.83,OK
2024-11-01 02:00:00,19.17,OK,0.51,BDL,null,OS,null,OS,0.13,OK,42.35,OK,3.12,BDL
2024-11-01 03:00:00,13.8,OK,0.4,BDL,null,OS,null,OS,0.09,OK,40.23,OK,4.88,OK
2024-11-01 04:00:00,15.73,OK,0.42,BDL,null,OS,null,OS,0.09,OK,41.91,OK,6.23,OK
2024-11-01 05:00:00,8.97,OK,0.48,BDL,null,OS,null,OS,0.22,OK,54.07,OK,2.27,BDL
2024-11-01 06:00:00,4.98,OK,0.61,BDL,null,OS,null,OS,0.43,OK,68.16,OK,4.66,OK
2024-11-01 07:00:00,9.73,OK,0.62,BDL,null,OS,null,OS,0.52,OK,93.32,OK,6.38,OK
2024-11-01 08:00:00,27.27,OK,0.52,BDL,null,OS,null,OS,0.3,OK,74.76,OK,12.19,OK
2024-11-01 09:00:00,35.05,OK,0.48,BDL,null,OS,null,OS,0.27,OK,71.8,OK,23.38,OK
2024-11-01 10:00:00,38.94,OK,0.67,BDL,null,OS,null,OS,0.28,OK,58.96,OK,19.29,OK
2024-11-01 11:00:00,44.14,OK,0.66,BDL,null,OS,null,OS,0.27,OK,65.6,OK,25.98,OK
2024-11-01 12:00:00,45.85,OK,0.5,BDL,null,OS,null,OS,0.24,OK,47.71,OK,23.52,OK
2024-11-01 13:00:00,42.22,OK,0.46,BDL,null,OS,null,OS,0.28,OK,39.44,OK,12.6,OK
2024-11-01 14:00:00,44.96,OK,0.43,BDL,null,OS,null,OS,0.24,OK,40.74,OK,17.37,OK
2024-11-01 15:00:00,38.3,OK,0.4,BDL,null,OS,null,OS,0.29,OK,26.5,OK,15.59,OK
2024-11-01 16:00:00,23.38,OK,0.5,BDL,null,OS,null,OS,0.52,OK,43.29,OK,7.58,OK
2024-11-01 17:00:00,7.36,OK,0.59,BDL,null,OS,null,OS,0.79,OK,79.32,OK,12.64,OK
2024-11-01 18:00:00,1.85,OK,0.91,BDL,null,OS,null,OS,0.97,OK,111.15,OK,5.35,OK
2024-11-01 19:00:00,5.11,OK,0.73,BDL,null,OS,null,OS,0.72,OK,182.53,OK,24.0,OK
2024-11-01 20:00:00,2.47,OK,0.6,BDL,null,OS,null,OS,0.65,OK,157.24,OK,24.51,OK
2024-11-01 21:00:00,0.49,BDL,0.82,BDL,null,OS,null,OS,0.87,OK,145.06,OK,14.17,OK
2024-11-01 22:00:00,0.35,BDL,0.91,BDL,null,OS,null,OS,1.32,OK,132.11,OK,24.09,OK
2024-11-01 23:00:00,2.39,OK,0.79,BDL,null,OS,null,OS,0.82,OK,170.0,OK,25.96,OK
2024-11-02 00:00:00,7.24,OK,0.49,BDL,null,OS,null,OS,0.26,OK,84.7,OK,14.41,OK
2024-11-02 01:00:00,12.9,OK,0.52,BDL,null,OS,null,OS,0.18,OK,61.52,OK,6.06,OK
2024-11-02 02:00:00,14.23,OK,0.88,BDL,null,OS,null,OS,0.18,OK,44.74,OK,19.56,OK
2024-11-02 03:00:00,18.11,OK,0.47,BDL,null,OS,null,OS,0.1,OK,50.51,OK,1.81,BDL
2024-11-02 04:00:00,18.12,OK,0.4,BDL,null,OS,null,OS,0.11,OK,28.13,OK,1.73,BDL
2024-11-02 05:00:00,9.39,OK,0.4,BDL,null,OS,null,OS,0.16,OK,27.26,OK,6.19,OK
