Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Hermosillo (erno), Sonora
Lat 29.0814 N, Lon 110.9706 W, Alt 154 masl
Time UTC-7h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2024-09-01 00:00:00,26.6,OK,0.3,BDL,null,OS,null,OS,-0.26,OR,0.0,BDL,4.5,OK
2024-09-01 01:00:00,23.8,OK,0.22,BDL,null,OS,null,OS,-0.26,OR,0.0,BDL,-26.25,OR
2024-09-01 02:00:00,22.58,OK,0.27,BDL,null,OS,null,OS,-0.25,OR,0.0,BDL,0.63,BDL
2024-09-01 03:00:00,19.13,OK,0.19,BDL,null,OS,null,OS,-0.25,OR,0.0,BDL,16.96,OK
2024-09-01 04:00:00,15.5,OK,0.27,BDL,null,OS,null,OS,-0.24,OR,0.0,BDL,9.14,OK
2024-09-01 05:00:00,12.73,OK,0.2,BDL,null,OS,null,OS,-0.2,OR,0.0,BDL,15.42,OK
2024-09-01 06:00:00,16.74,OK,0.3,BDL,null,OS,null,OS,-0.2,OR,0.0,BDL,5.1,OK
2024-09-01 07:00:00,19.01,OK,0.27,BDL,null,OS,null,OS,-0.2,OR,0.0,BDL,-3.58,BDL
2024-09-01 08:00:00,20.77,OK,0.3,BDL,null,OS,null,OS,-0.19,OR,0.0,BDL,-5.05,OR
2024-09-01 09:00:00,25.81,OK,0.27,BDL,null,OS,null,OS,-0.19,OR,null,OS,3.07,BDL
2024-09-01 10:00:00,26.89,OK,0.3,BDL,null,OS,null,OS,-0.18,OR,null,OS,14.43,OK
2024-09-01 11:00:00,31.97,OK,0.23,BDL,null,OS,null,OS,-0.17,OR,null,OS,18.0,OK
2024-09-01 12:00:00,35.47,OK,0.28,BDL,null,OS,null,OS,-0.19,OR,null,OS,5.22,OK
2024-09-01 13:00:00,34.17,OK,0.31,BDL,null,OS,null,OS,-0.18,OR,null,OS,11.7,OK
2024-09-01 14:00:00,35.66,OK,0.17,BDL,null,OS,null,OS,-0.18,OR,null,OS,17.64,OK
2024-09-01 15:00:00,37.18,OK,0.24,BDL,null,OS,null,OS,-0.19,OR,null,OS,13.47,OK
2024-09-01 16:00:00,35.36,OK,0.28,BDL,null,OS,null,OS,-0.18,OR,null,OS,22.11,OK
2024-09-01 17:00:00,13.75,OK,0.3,BDL,null,OS,null,OS,-0.12,OR,null,OS,29.79,OK
2024-09-01 18:00:00,12.37,OK,0.3,BDL,null,OS,null,OS,-0.14,OR,null,OS,17.42,OK
2024-09-01 19:00:00,12.53,OK,0.31,BDL,null,OS,null,OS,-0.13,OR,null,OS,18.82,OK
2024-09-01 20:00:00,10.66,OK,0.21,BDL,null,OS,null,OS,-0.15,OR,null,OS,13.32,OK
2024-09-01 21:00:00,10.9,OK,0.25,BDL,null,OS,null,OS,-0.19,OR,null,OS,10.64,OK
2024-09-01 22:00:00,11.32,OK,0.23,BDL,null,OS,null,OS,-0.19,OR,null,OS,12.18,OK
