Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Hermosillo (erno), Sonora
Lat 29.0814 N, Lon 110.9706 W, Alt 154 masl
Time UTC-7h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2024-04-01 00:00:00,31.21,OK,-0.31,BDL,null,OS,null,OS,0.34,OK,-3.15,BDL,-1.94,BDL
2024-04-01 01:00:00,28.88,OK,-0.31,BDL,null,OS,null,OS,0.34,OK,-3.38,BDL,-2.41,BDL
2024-04-01 02:00:00,30.16,OK,-0.3,BDL,null,OS,null,OS,0.33,OK,0.54,BDL,-1.39,BDL
2024-04-01 03:00:00,30.06,OK,-0.26,BDL,null,OS,null,OS,0.33,OK,0.23,BDL,0.1,BDL
2024-04-01 04:00:00,27.63,OK,-0.35,BDL,null,OS,null,OS,0.38,OK,0.56,BDL,0.28,BDL
2024-04-01 05:00:00,18.83,OK,-0.27,BDL,null,OS,null,OS,0.48,OK,0.43,BDL,0.07,BDL
2024-04-01 06:00:00,28.67,OK,-0.22,BDL,null,OS,null,OS,0.46,OK,2.53,BDL,-2.92,BDL
2024-04-01 07:00:00,32.9,OK,-0.24,BDL,null,OS,null,OS,0.47,OK,10.05,OK,-7.91,OR
2024-04-01 08:00:00,37.79,OK,-0.27,BDL,null,OS,null,OS,0.39,OK,7.4,OK,-3.08,BDL
2024-04-01 09:00:00,39.61,OK,-0.25,BDL,null,OS,null,OS,0.4,OK,5.48,OK,1.19,BDL
2024-04-01 10:00:00,42.81,OK,-0.28,BDL,null,OS,null,OS,0.4,OK,3.12,BDL,-0.55,BDL
2024-04-01 11:00:00,42.51,OK,-0.19,BDL,null,OS,null,OS,0.44,OK,8.94,OK,3.18,BDL
2024-04-01 12:00:00,44.71,OK,-0.22,BDL,null,OS,null,OS,0.39,OK,7.08,OK,6.4,OK
2024-04-01 13:00:00,42.34,OK,-0.3,BDL,null,OS,null,OS,0.41,OK,7.67,OK,9.41,OK
2024-04-01 14:00:00,41.82,OK,-0.25,BDL,null,OS,null,OS,0.41,OK,11.38,OK,5.22,OK
2024-04-01 15:00:00,39.78,OK,-0.26,BDL,null,OS,null,OS,0.42,OK,12.37,OK,1.19,BDL
2024-04-01 16:00:00,37.02,OK,-0.2,BDL,null,OS,null,OS,0.45,OK,9.76,OK,10.89,OK
2024-04-01 17:00:00,35.04,OK,-0.27,BDL,null,OS,null,OS,0.49,OK,5.86,OK,3.2,BDL
2024-04-01 18:00:00,32.9,OK,-0.24,BDL,null,OS,null,OS,0.45,OK,14.27,OK,2.71,BDL
2024-04-01 19:00:00,32.82,OK,-0.2,BDL,null,OS,null,OS,0.43,OK,12.89,OK,4.06,OK
2024-04-01 20:00:00,35.05,OK,-0.22,BDL,null,OS,null,OS,0.39,OK,11.14,OK,3.61,BDL
2024-04-01 21:00:00,34.69,OK,-0.32,BDL,null,OS,null,OS,0.39,OK,13.01,OK,2.28,BDL
2024-04-01 22:00:00,39.15,OK,-0.29,BDL,null,OS,null,OS,0.34,OK,7.79,OK,6.86,OK
2024-04-01 23:00:00,42.56,OK,-0.25,BDL,null,OS,null,OS,0.33,OK,-0.75,BDL,7.35,OK
2024-04-02 00:00:00,38.58,OK,-0.29,BDL,null,OS,null,OS,0.37,OK,-4.65,OR,-3.57,BDL
2024-04-02 01:00:00,31.42,OK,-0.31,BDL,null,OS,null,OS,0.41,OK,-3.88,BDL,-4.5,OR
2024-04-02 02:00:00,23.38,OK,-0.24,BDL,null,OS,null,OS,0.44,OK,-1.67,BDL,-1.53,BDL
2024-04-02 03:00:00,19.24,OK,-0.25,BDL,null,OS,null,OS,0.43,OK,-1.57,BDL,1.17,BDL
2024-04-02 04:00:00,22.12,OK,-0.21,BDL,null,OS,null,OS,0.42,OK,0.37,BDL,2.45,BDL
2024-04-02 05:00:00,12.16,OK,-0.26,BDL,null,OS,null,OS,0.54,OK,0.46,BDL,3.5,BDL
2024-04-02 06:00:00,7.8,OK,-0.11,BDL,null,OS,null,OS,0.76,OK,6.54,OK,-1.29,BDL
2024-04-02 07:00:00,24.41,OK,-0.22,BDL,null,OS,null,OS,0.54,OK,14.19,OK,-6.84,OR
2024-04-02 08:00:00,33.22,OK,-0.2,BDL,null,OS,null,OS,0.49,OK,9.03,OK,6.25,OK
2024-04-02 09:00:00,35.27,OK,-0.19,BDL,null,OS,null,OS,0.51,OK,5.46,OK,15.07,OK
2024-04-02 10:00:00,46.34,OK,-0.2,BDL,null,OS,null,OS,0.39,OK,4.4,OK,4.76,OK
2024-04-02 11:00:00,48.94,OK,-0.28,BDL,null,OS,null,OS,0.35,OK,4.48,OK,3.98,BDL
2024-04-02 12:00:00,49.27,OK,-0.2,BDL,null,OS,null,OS,0.36,OK,3.07,BDL,10.79,OK
2024-04-02 13:00:00,49.01,OK,-0.27,BDL,null,OS,null,OS,0.32,OK,9.89,OK,7.21,OK
2024-04-02 14:00:00,49.63,OK,-0.24,BDL,null,OS,null,OS,0.34,OK,-3.67,BDL,6.55,OK
2024-04-02 15:00:00,49.73,OK,-0.25,BDL,null,OS,null,OS,0.33,OK,-0.99,BDL,1.92,BDL
2024-04-02 16:00:00,49.03,OK,-0.28,BDL,null,OS,null,OS,0.34,OK,1.95,BDL,2.5,BDL
2024-04-02 17:00:00,42.38,OK,-0.31,BDL,null,OS,null,OS,0.41,OK,6.43,OK,8.73,OK
2024-04-02 18:00:00,23.59,OK,-0.16,BDL,null,OS,null,OS,0.64,OK,9.95,OK,8.08,OK
2024-04-02 19:00:00,1.79,OK,0.24,BDL,null,OS,null,OS,1.42,OK,30.48,OK,2.74,BDL
2024-04-02 20:00:00,0.61,BDL,0.52,BDL,null,OS,null,OS,1.8,OK,79.14,OK,24.82,OK
2024-04-02 21:00:00,0.87,BDL,0.06,BDL,null,OS,null,OS,1.04,OK,66.74,OK,37.56,OK
2024-04-02 22:00:00,0.25,BDL,0.01,BDL,null,OS,null,OS,1.0,OK,29.76,OK,23.88,OK
2024-04-02 23:00:00,8.79,OK,-0.19,BDL,null,OS,null,OS,0.65,OK,31.01,OK,21.2,OK
2024-04-03 00:00:00,19.98,OK,-0.22,BDL,null,OS,null,OS,0.46,OK,11.95,OK,0.93,BDL
2024-04-03 01:00:00,34.95,OK,-0.23,BDL,null,OS,null,OS,0.32,OK,15.22,OK,4.83,OK
2024-04-03 02:00:00,39.06,OK,-0.26,BDL,null,OS,null,OS,0.3,OK,7.0,OK,2.21,BDL
2024-04-03 03:00:00,37.58,OK,-0.23,BDL,null,OS,null,OS,0.28,OK,-3.36,BDL,1.12,BDL
2024-04-03 04:00:00,29.64,OK,-0.29,BDL,null,OS,null,OS,0.3,OK,-3.03,BDL,2.82,BDL
2024-04-03 05:00:00,10.56,OK,-0.17,BDL,null,OS,null,OS,0.47,OK,12.49,OK,7.54,OK
2024-04-03 06:00:00,14.26,OK,-0.17,BDL,null,OS,null,OS,0.63,OK,13.38,OK,3.41,BDL
2024-04-03 07:00:00,26.48,OK,-0.14,BDL,null,OS,null,OS,0.53,OK,3.46,BDL,-3.97,BDL
2024-04-03 08:00:00,40.31,OK,-0.19,BDL,null,OS,null,OS,0.36,OK,0.41,BDL,-0.51,BDL
2024-04-03 09:00:00,44.0,OK,-0.17,BDL,null,OS,null,OS,0.34,OK,1.51,BDL,3.67,BDL
2024-04-03 10:00:00,48.37,OK,-0.12,BDL,null,OS,null,OS,0.32,OK,3.84,BDL,4.22,OK
2024-04-03 11:00:00,50.07,OK,-0.1,BDL,null,OS,null,OS,0.32,OK,0.39,BDL,12.35,OK
2024-04-03 12:00:00,52.63,OK,-0.17,BDL,null,OS,null,OS,0.31,OK,-0.25,BDL,6.09,OK
2024-04-03 13:00:00,53.81,OK,-0.17,BDL,null,OS,null,OS,0.33,OK,-0.92,BDL,4.95,OK
2024-04-03 14:00:00,54.2,OK,-0.26,BDL,null,OS,null,OS,0.33,OK,3.49,BDL,5.62,OK
2024-04-03 15:00:00,54.36,OK,-0.25,BDL,null,OS,null,OS,0.35,OK,7.07,OK,9.86,OK
2024-04-03 16:00:00,52.57,OK,-0.19,BDL,null,OS,null,OS,0.35,OK,4.01,OK,14.87,OK
2024-04-03 17:00:00,42.88,OK,-0.23,BDL,null,OS,null,OS,0.47,OK,5.3,OK,12.92,OK
2024-04-03 18:00:00,33.17,OK,-0.18,BDL,null,OS,null,OS,0.52,OK,13.64,OK,3.43,BDL
2024-04-03 19:00:00,33.69,OK,-0.2,BDL,null,OS,null,OS,0.44,OK,14.82,OK,1.13,BDL
2024-04-03 20:00:00,21.24,OK,-0.2,BDL,null,OS,null,OS,0.6,OK,15.34,OK,-2.83,BDL
2024-04-03 21:00:00,24.36,OK,-0.21,BDL,null,OS,null,OS,0.56,OK,22.16,OK,-3.2,BDL
